id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
131676416,2.224157,1.374144,0.84342,2090.06,0.84395,2091.09,81.09,2087.88,50.12,3,27,44,85.6,11.844,0.8439,0.172327,0.368412,-129.731,1.20387,-129.731,0.368412,2.205317,1.366939,6.98232E+11,
131676544,0.219818,2.443983,0.84193,2087.11,0.84198,2087.21,8,2085.2,89,-196,15,-139,8.3,11.808,0.842,0.006672,0.235871,54.5147,0.123228,54.5147,0.235871,0.205007,2.435849,6.42688E+11,
131676672,0.485778,2.443847,0.84318,2089.58,0.84347,2090.15,17.7,2087.6,89.1,-714,48,122,47.1,11.609,0.8435,0.0399665,0.758365,-13.2261,0.355861,-13.2261,0.758365,0.468592,2.435217,4.06443E+11,
131677440,2.63967,1.133491,0.8397,2082.72,0.84037,2084.04,95.9,2080.1,41.2,242,94,198,108.9,12.075,0.8404,0.904756,0.804813,-34.3979,0,-34.3979,0.804813,2.620674,1.126177,1.1885E+12,
131677568,2.279267,1.705052,0.83851,2080.37,0.83974,2082.8,82.7,2077.8,61.9,119,201,-165,200.6,11.357,0.8397,0.00240639,0.455458,-0.695253,0.258002,-0.695253,0.455458,2.26017,1.69917,2.2751E+11,
131678336,2.363312,2.548841,0.83949,2082.31,0.83945,2082.21,85.78,2078.48,92.6,-82,16,21,-7.9,12.294,0.8395,0.0460272,0.556953,-125.024,0.376729,-125.024,0.556953,2.348616,2.543079,1.96789E+12,
131679360,2.744186,1.023082,0.8429,2089.03,0.84289,2089.01,100,2086.3,37.3,-235,6,196,-1.8,11.92,0.8429,0.0490948,0.569238,171.299,0.967984,171.299,0.569238,2.726254,1.013402,8.31764E+11,
133048192,0.500085,0.712783,0.83526,2073.94,0.83539,2074.2,18.1,2073.7,25.8,-67,24,-153,21.5,13.038,0.8354,0.105284,0.934109,-94.276,0,-94.276,0.934109,0.482058,0.702263,1.09144E+13,
133048320,0.491809,2.046919,0.82994,2063.39,0.82898,2061.49,17.7,2062,73.7,-181,-172,469,-156.7,12.025,0.829,0.00939984,0.480584,38.7091,0.194672,38.7091,0.480584,0.474803,2.036295,1.05925E+12,
133048448,1.793292,0.033306,0.8304,2064.31,0.83044,2064.39,64.6,2063.3,1.2,132,2,-12,6.1,11.93,0.8304,0.0481664,0.182098,165.878,0.878207,165.878,0.182098,1.772779,0.022336,8.51138E+11,
133048576,1.430398,1.030795,0.83284,2069.15,0.83077,2065.05,51.64,2068.17,37.22,7,86,-60,-338.1,12.26,0.8308,0.00903618,0.656208,-45.7468,0,-45.7468,0.656208,1.412129,1.021332,1.8197E+12,
133048704,1.468446,1.263074,0.8326,2068.68,0.83039,2064.29,53,2067.5,45.6,-46,-363,71,-362.4,11.373,0.8304,6.30E-04,0.629288,45.4488,0.0545995,45.4488,0.629288,1.45092,1.255042,2.36048E+11,
133048832,2.199291,1.720727,0.83062,2064.75,0.82883,2061.19,79.2,2062.3,62,47,-297,23,-294.2,11.403,0.8288,0.0158825,0.502272,-0.21793,0.21737,-0.21793,0.502272,2.180536,1.715145,2.5293E+11,
133048960,0.205211,2.646445,0.83242,2068.32,0.83159,2066.67,7.4,2066.1,95.5,126,-136,-8,-135.8,11.474,0.8316,0.0372931,0.835104,169.989,0.886202,169.989,0.835104,0.189543,2.637891,2.97852E+11,
133049088,0.714319,2.849291,0.83025,2064.01,0.82782,2059.19,25.7,2061.3,102.6,-585,-384,-144,-397.9,11.809,0.8278,1.36E-04,0.423625,-172.217,1.36088,-172.217,0.423625,0.69839,2.838988,6.44169E+11,
133049344,1.690132,2.702919,0.83524,2073.91,0.83495,2073.32,61.1,2070.7,97.8,-128,-40,-104,-48.6,11.59,0.8349,0.00765992,0.304828,-155.207,0.466536,-155.207,0.304828,1.676724,2.69525,3.89045E+11,
133049856,0.986483,2.613531,0.83633,2076.06,0.83423,2071.91,35.71,2073.59,94.67,73,-182,48,-342.3,11.916,0.8342,0.821934,0.690321,134.854,0,134.854,0.690321,0.971489,2.604215,8.24138E+11,
133049984,2.36713,1.084273,0.83133,2066.16,0.83218,2067.84,85.32,2064.02,39.1,97,141,62,138.8,12.232,0.8322,0.012158,0.965043,13.8532,0.155793,13.8532,0.965043,2.349122,1.07795,1.70608E+12,
133050112,2.444491,1.21753,0.83127,2066.05,0.83135,2066.2,88.1,2063.7,43.9,37,12,-50,12.5,11.552,0.8314,0.0133092,0.586394,-177.596,0.246635,-177.596,0.586394,2.427043,1.210949,3.56451E+11,
133050240,2.893984,1.572176,0.83156,2066.61,0.83037,2064.26,104.3,2063.2,56.7,-53,-195,111,-194.3,12.403,0.8304,0.540025,0.696149,-23.7094,0,-23.7094,0.696149,2.877508,1.569459,2.5293E+12,
133051008,2.39745,2.475537,0.83556,2074.54,0.83715,2077.68,86.7,2070.79,89.61,-12,153,-80,258.8,11.78,0.8371,0.0152928,0.803139,104.77,0.687189,104.77,0.803139,2.382162,2.470422,6.0256E+11,
133051136,2.571279,2.499657,0.83466,2072.76,0.83453,2072.49,92.9,2068.7,90.4,109,-17,-221,-21.7,11.931,0.8345,0.0606531,0.545848,-37.7531,1.06331,-37.7531,0.545848,2.555815,2.494795,8.531E+11,
133051264,2.930079,2.512346,0.83514,2073.7,0.83623,2075.86,105.9,2069,90.9,-110,183,28,178.2,12.431,0.8362,0.0224523,0.685876,138.517,0.236666,138.517,0.685876,2.916004,2.507737,2.69774E+12,
